Item,Year,yield,rainfall,pesticides_tonnes,avg_temp
Wheat,1993,8097,89,1021.89,17
Maize,1994,4512,89,1255.02,17.88
Potatoes,1994,95078,89,1255.02,17.88
"Rice, paddy",1994,21374,89,1255.02,17.88
Wheat,1994,7999,89,1255.02,17.88
Maize,1995,16115,89,2697.09,17.36
Potatoes,1995,136768,89,2697.09,17.36
"Rice, paddy",1995,19598,89,2697.09,17.36
Sorghum,1995,12667,89,2697.09,17.36
Wheat,1995,8924,89,2697.09,17.36
Maize,1996,17154,89,479.77,16.76
Potatoes,1996,134629,89,479.77,16.76
"Rice, paddy",1996,17861,89,479.77,16.76
Sorghum,1996,14750,89,479.77,16.76
Wheat,1996,13090,89,479.77,16.76
Maize,1997,21417,89,401.22,17.84
Potatoes,1997,141042,89,401.22,17.84
"Rice, paddy",1997,15000,89,401.22,17.84
Sorghum,1997,40000,89,401.22,17.84
Wheat,1997,8016,89,401.22,17.84
Maize,1998,17222,89,322.84,17.14
Potatoes,1998,160256,89,322.84,17.14
"Rice, paddy",1998,15000,89,322.84,17.14
Sorghum,1998,24500,89,322.84,17.14
Wheat,1998,8847,89,322.84,17.14
Maize,1999,22375,89,654.45,17.97
Potatoes,1999,153532,89,654.45,17.97
"Rice, paddy",1999,13942,89,654.45,17.97
Sorghum,1999,27000,89,654.45,17.97
Wheat,1999,10711,89,654.45,17.97
Maize,2000,36186,89,603.67,17.9
Potatoes,2000,166143,89,603.67,17.9
"Rice, paddy",2000,13052,89,603.67,17.9
Sorghum,2000,69500,89,603.67,17.9
Wheat,2000,9194,89,603.67,17.9
Maize,2001,27175,89,710.11,18.13
Potatoes,2001,147018,89,710.11,18.13
"Rice, paddy",2001,12314,89,710.11,18.13
Sorghum,2001,27750,89,710.11,18.13
Wheat,2001,11104,89,710.11,18.13
Maize,2002,33480,89,816.55,17.85
Potatoes,2002,183774,89,816.55,17.85
"Rice, paddy",2002,12959,89,816.55,17.85
Sorghum,2002,33900,89,816.55,17.85
Wheat,2002,10739,89,816.55,17.85
Maize,2004,31729,89,3747.86,17.38
Potatoes,2004,203585,89,3747.86,17.38
"Rice, paddy",2004,12829,89,3747.86,17.38
Sorghum,2004,43316,89,3747.86,17.38
Wheat,2004,13582,89,3747.86,17.38
Maize,2005,33864,89,3662.87,17.19
Potatoes,2005,216267,89,3662.87,17.19
"Rice, paddy",2005,12998,89,3662.87,17.19
Sorghum,2005,33486,89,3662.87,17.19
Wheat,2005,15057,89,3662.87,17.19
Maize,2006,65668,89,4110.72,18.13
Potatoes,2006,220689,89,4110.72,18.13
"Rice, paddy",2006,12769,89,4110.72,18.13
Sorghum,2006,56728,89,4110.72,18.13
Wheat,2006,15068,89,4110.72,18.13
Maize,2007,85625,89,5390.79,17.42
Potatoes,2007,189927,89,5390.79,17.42
"Rice, paddy",2007,13375,89,5390.79,17.42
Sorghum,2007,119059,89,5390.79,17.42
Wheat,2007,12742,89,5390.79,17.42
Maize,2008,44714,89,11556.12,17.55
Potatoes,2008,236393,89,11556.12,17.55
"Rice, paddy",2008,13952,89,11556.12,17.55
Sorghum,2008,61786,89,11556.12,17.55
Wheat,2008,11038,89,11556.12,17.55
Maize,2009,30914,89,3867.99,17.78
Potatoes,2009,250764,89,3867.99,17.78
"Rice, paddy",2009,14594,89,3867.99,17.78
Sorghum,2009,90465,89,3867.99,17.78
Wheat,2009,15975,89,3867.99,17.78
Maize,2010,25827,89,1295.88,17.59
Potatoes,2010,270526,89,1295.88,17.59
"Rice, paddy",2010,15305,89,1295.88,17.59
Sorghum,2010,30286,89,1295.88,17.59
Wheat,2010,14838,89,1295.88,17.59
Maize,2011,23374,89,13861.76,17.79
Potatoes,2011,292806,89,13861.76,17.79
"Rice, paddy",2011,16081,89,13861.76,17.79
Sorghum,2011,100000,89,13861.76,17.79
Wheat,2011,17405,89,13861.76,17.79
Maize,2012,25583,89,17379.76,17.91
Potatoes,2012,304291,89,17379.76,17.91
"Rice, paddy",2012,16667,89,17379.76,17.91
Sorghum,2012,206000,89,17379.76,17.91
Wheat,2012,17639,89,17379.76,17.91
Maize,2013,33649,89,17278.65,17.65
Potatoes,2013,303218,89,17278.65,17.65
"Rice, paddy",2013,17778,89,17278.65,17.65
Sorghum,2013,60000,89,17278.65,17.65
Wheat,2013,19100,89,17278.65,17.65
Cassava,1990,41177,1010,64,24.12
Maize,1990,2736,1010,64,24.12
Potatoes,1990,40000,1010,64,24.12
"Rice, paddy",1990,9512,1010,64,24.12
Sweet potatoes,1990,89342,1010,64,24.12
Wheat,1990,7995,1010,64,24.12
Cassava,1991,40295,1010,79,24.02
Maize,1991,4013,1010,79,24.02
Potatoes,1991,40000,1010,79,24.02
"Rice, paddy",1991,10000,1010,79,24.02
Sweet potatoes,1991,83001,1010,79,24.02
Wheat,1991,8000,1010,79,24.02
Cassava,1992,42295,1010,23,23.96
Maize,1992,3778,1010,23,23.96
Potatoes,1992,40000,1010,23,23.96
"Rice, paddy",1992,9106,1010,23,23.96
Sweet potatoes,1992,90000,1010,23,23.96
Wheat,1992,8000,1010,23,23.96
Cassava,1993,42295,1010,169,24.15
Maize,1993,2627,1010,169,24.15
Potatoes,1993,70000,1010,169,24.15
"Rice, paddy",1993,8000,1010,169,24.15
Sweet potatoes,1993,88095,1010,169,24.15
Wheat,1993,8876,1010,169,24.15
Cassava,1994,58596,1010,25.5,24.04
Maize,1994,2463,1010,25.5,24.04
Potatoes,1994,90000,1010,25.5,24.04
"Rice, paddy",1994,8750,1010,25.5,24.04
Sweet potatoes,1994,83192,1010,25.5,24.04
Wheat,1994,10000,1010,25.5,24.04
Cassava,1995,51000,1010,336,24.56
Maize,1995,3517,1010,336,24.56
Potatoes,1995,76738,1010,336,24.56
"Rice, paddy",1995,14615,1010,336,24.56
Sweet potatoes,1995,81138,1010,336,24.56
Wheat,1995,11855,1010,336,24.56
Cassava,1996,48077,1010,40,24.11
Maize,1996,6993,1010,40,24.11
Potatoes,1996,70000,1010,40,24.11
"Rice, paddy",1996,17500,1010,40,24.11
Sweet potatoes,1996,85455,1010,40,24.11
Wheat,1996,13738,1010,40,24.11
Cassava,1997,44205,1010,40,24.06
Maize,1997,5959,1010,40,24.06
Potatoes,1997,68571,1010,40,24.06
"Rice, paddy",1997,20000,1010,40,24.06
Sweet potatoes,1997,78098,1010,40,24.06
Wheat,1997,15509,1010,40,24.06
Cassava,1998,55728,1010,40,24.96
Maize,1998,7396,1010,40,24.96
Potatoes,1998,62724,1010,40,24.96
"Rice, paddy",1998,20000,1010,40,24.96
Sweet potatoes,1998,76256,1010,40,24.96
Wheat,1998,17143,1010,40,24.96
Cassava,1999,59821,1010,40,24.37
Maize,1999,6361,1010,40,24.37
Potatoes,1999,54597,1010,40,24.37
"Rice, paddy",1999,14235,1010,40,24.37
Sweet potatoes,1999,82865,1010,40,24.37
Wheat,1999,17391,1010,40,24.37
Cassava,2000,82992,1010,40,24.41
Maize,2000,5745,1010,40,24.41
Potatoes,2000,29885,1010,40,24.41
"Rice, paddy",2000,13454,1010,40,24.41
Sorghum,2000,3333,1010,40,24.41
Soybeans,2000,2333,1010,40,24.41
Sweet potatoes,2000,34938,1010,40,24.41
Wheat,2000,17023,1010,40,24.41
Cassava,2001,94072,1010,40,24.43
Maize,2001,5754,1010,40,24.43
Potatoes,2001,42552,1010,40,24.43
"Rice, paddy",2001,13701,1010,40,24.43
Sorghum,2001,3571,1010,40,24.43
Soybeans,2001,2500,1010,40,24.43
Sweet potatoes,2001,44458,1010,40,24.43
Wheat,2001,16667,1010,40,24.43
Cassava,2002,110071,1010,40,24.79
Maize,2002,6706,1010,40,24.79
Potatoes,2002,42754,1010,40,24.79
"Rice, paddy",2002,13198,1010,40,24.79
Sorghum,2002,3400,1010,40,24.79
Soybeans,2002,2857,1010,40,24.79
Sweet potatoes,2002,42190,1010,40,24.79
Wheat,2002,15455,1010,40,24.79
Cassava,2004,125605,1010,40,24.22
Maize,2004,5404,1010,40,24.22
Potatoes,2004,20150,1010,40,24.22
"Rice, paddy",2004,11584,1010,40,24.22
Sorghum,2004,3333,1010,40,24.22
Soybeans,2004,3600,1010,40,24.22
Sweet potatoes,2004,45360,1010,40,24.22
Wheat,2004,12442,1010,40,24.22
Cassava,2005,117628,1010,40,24.41
Maize,2005,6736,1010,40,24.41
Potatoes,2005,23646,1010,40,24.41
"Rice, paddy",2005,6977,1010,40,24.41
Sorghum,2005,3333,1010,40,24.41
Soybeans,2005,3793,1010,40,24.41
Sweet potatoes,2005,46159,1010,40,24.41
Wheat,2005,10946,1010,40,24.41
Cassava,2006,117201,1010,40,24.14
Maize,2006,4687,1010,40,24.14
Potatoes,2006,52148,1010,40,24.14
"Rice, paddy",2006,4947,1010,40,24.14
Sorghum,2006,4091,1010,40,24.14
Soybeans,2006,4286,1010,40,24.14
Sweet potatoes,2006,44240,1010,40,24.14
Wheat,2006,10000,1010,40,24.14
Cassava,2007,115387,1010,40,24.24
Maize,2007,5091,1010,40,24.24
Potatoes,2007,62138,1010,40,24.24
"Rice, paddy",2007,5143,1010,40,24.24
Sorghum,2007,4031,1010,40,24.24
Soybeans,2007,6883,1010,40,24.24
Sweet potatoes,2007,58855,1010,40,24.24
Wheat,2007,10000,1010,40,24.24
Cassava,2008,148084,1010,40,24.27
Maize,2008,7946,1010,40,24.27
Potatoes,2008,85085,1010,40,24.27
"Rice, paddy",2008,5084,1010,40,24.27
Sorghum,2008,929,1010,40,24.27
Soybeans,2008,8575,1010,40,24.27
Sweet potatoes,2008,65437,1010,40,24.27
Wheat,2008,10000,1010,40,24.27
Cassava,2009,151759,1010,40,24.33
Maize,2009,6614,1010,40,24.33
Potatoes,2009,86509,1010,40,24.33
"Rice, paddy",2009,6028,1010,40,24.33
Sorghum,2009,2480,1010,40,24.33
Soybeans,2009,4449,1010,40,24.33
Sweet potatoes,2009,66475,1010,40,24.33
Wheat,2009,10000,1010,40,24.33
Cassava,2010,155782,1010,40,24.44
Maize,2010,7200,1010,40,24.44
Potatoes,2010,87425,1010,40,24.44
"Rice, paddy",2010,7403,1010,40,24.44
Sorghum,2010,2814,1010,40,24.44
Soybeans,2010,4446,1010,40,24.44
Sweet potatoes,2010,63001,1010,40,24.44
Wheat,2010,10526,1010,40,24.44
Cassava,2011,133649,1010,40,24.15
Maize,2011,7376,1010,40,24.15
Potatoes,2011,81366,1010,40,24.15
"Rice, paddy",2011,8914,1010,40,24.15
Sorghum,2011,3320,1010,40,24.15
Soybeans,2011,5294,1010,40,24.15
Sweet potatoes,2011,65512,1010,40,24.15
Wheat,2011,10959,1010,40,24.15
Cassava,2012,100073,1010,40,24.24
Maize,2012,7770,1010,40,24.24
Potatoes,2012,69381,1010,40,24.24
"Rice, paddy",2012,7703,1010,40,24.24
Sorghum,2012,998,1010,40,24.24
Soybeans,2012,1641,1010,40,24.24
Sweet potatoes,2012,52954,1010,40,24.24
Wheat,2012,11258,1010,40,24.24
Cassava,2013,140517,1010,40,24.55
Maize,2013,9467,1010,40,24.55
Potatoes,2013,63303,1010,40,24.55
"Rice, paddy",2013,12744,1010,40,24.55
Sorghum,2013,2415,1010,40,24.55
Soybeans,2013,4405,1010,40,24.55
Sweet potatoes,2013,73409,1010,40,24.55
Wheat,2013,9022,1010,40,24.55
Cassava,1990,100000,591,26156,17.46
Cassava,1990,100000,591,26156,17.67
Maize,1990,34608,591,26156,17.46
Maize,1990,34608,591,26156,17.67
Potatoes,1990,202747,591,26156,17.46
Potatoes,1990,202747,591,26156,17.67
"Rice, paddy",1990,36709,591,26156,17.46
"Rice, paddy",1990,36709,591,26156,17.67
Sorghum,1990,28116,591,26156,17.46
Sorghum,1990,28116,591,26156,17.67
Soybeans,1990,21566,591,26156,17.46
Soybeans,1990,21566,591,26156,17.67
Sweet potatoes,1990,131864,591,26156,17.46
Sweet potatoes,1990,131864,591,26156,17.67
Wheat,1990,18947,591,26156,17.46
Wheat,1990,18947,591,26156,17.67
Cassava,1991,100000,591,26156,17.64
Cassava,1991,100000,591,26156,17.86
Maize,1991,40444,591,26156,17.64
Maize,1991,40444,591,26156,17.86
Potatoes,1991,205692,591,26156,17.64
Potatoes,1991,205692,591,26156,17.86
"Rice, paddy",1991,40294,591,26156,17.64
"Rice, paddy",1991,40294,591,26156,17.86
Sorghum,1991,33320,591,26156,17.64
Sorghum,1991,33320,591,26156,17.86
Soybeans,1991,22750,591,26156,17.64
Soybeans,1991,22750,591,26156,17.86
Sweet potatoes,1991,131364,591,26156,17.64
Sweet potatoes,1991,131364,591,26156,17.86
Wheat,1991,18972,591,26156,17.64
Wheat,1991,18972,591,26156,17.86
Cassava,1992,100000,591,26156,17.09
Cassava,1992,100000,591,26156,17.51
Maize,1992,45237,591,26156,17.09
Maize,1992,45237,591,26156,17.51
Potatoes,1992,199039,591,26156,17.09
Potatoes,1992,199039,591,26156,17.51
"Rice, paddy",1992,52075,591,26156,17.09
"Rice, paddy",1992,52075,591,26156,17.51
Sorghum,1992,36217,591,26156,17.09
Sorghum,1992,36217,591,26156,17.51
Soybeans,1992,22915,591,26156,17.09
Soybeans,1992,22915,591,26156,17.51
Sweet potatoes,1992,127273,591,26156,17.09
Sweet potatoes,1992,127273,591,26156,17.51
Wheat,1992,21809,591,26156,17.09
Wheat,1992,21809,591,26156,17.51
Cassava,1993,100000,591,26156,17.32
Cassava,1993,100000,591,26156,17.53
Maize,1993,43552,591,26156,17.32
Maize,1993,43552,591,26156,17.53
Potatoes,1993,210314,591,26156,17.32
Potatoes,1993,210314,591,26156,17.53
"Rice, paddy",1993,43559,591,26156,17.32
"Rice, paddy",1993,43559,591,26156,17.53
Sorghum,1993,39529,591,26156,17.32
Sorghum,1993,39529,591,26156,17.53
Soybeans,1993,21589,591,26156,17.32
Soybeans,1993,21589,591,26156,17.53
Sweet potatoes,1993,122955,591,26156,17.32
Sweet potatoes,1993,122955,591,26156,17.53
Wheat,1993,23272,591,26156,17.32
Wheat,1993,23272,591,26156,17.53
Cassava,1994,100000,591,30195,18.17
Cassava,1994,100000,591,30195,18.31
Maize,1994,42371,591,30195,18.17
Maize,1994,42371,591,30195,18.31
Potatoes,1994,230166,591,30195,18.17
Potatoes,1994,230166,591,30195,18.31
"Rice, paddy",1994,42989,591,30195,18.17
"Rice, paddy",1994,42989,591,30195,18.31
Sorghum,1994,35065,591,30195,18.17
Sorghum,1994,35065,591,30195,18.31
Soybeans,1994,20386,591,30195,18.17
Soybeans,1994,20386,591,30195,18.31
Sweet potatoes,1994,176667,591,30195,18.17
Sweet potatoes,1994,176667,591,30195,18.31
Wheat,1994,20237,591,30195,18.17
Wheat,1994,20237,591,30195,18.31
Cassava,1995,100000,591,37842,17.74
Cassava,1995,100000,591,37842,17.62
Maize,1995,45223,591,37842,17.74
Maize,1995,45223,591,37842,17.62
Potatoes,1995,274272,591,37842,17.74
Potatoes,1995,274272,591,37842,17.62
"Rice, paddy",1995,50306,591,37842,17.74
"Rice, paddy",1995,50306,591,37842,17.62
Sorghum,1995,34588,591,37842,17.74
Sorghum,1995,34588,591,37842,17.62
Soybeans,1995,20446,591,37842,17.74
Soybeans,1995,20446,591,37842,17.62
Sweet potatoes,1995,168000,591,37842,17.74
Sweet potatoes,1995,168000,591,37842,17.62
Wheat,1995,21675,591,37842,17.74
Wheat,1995,21675,591,37842,17.62
Cassava,1996,100000,591,54595,17.64
Cassava,1996,100000,591,54595,17.97
Maize,1996,40397,591,54595,17.64
Maize,1996,40397,591,54595,17.97
Potatoes,1996,228877,591,54595,17.64
Potatoes,1996,228877,591,54595,17.97
"Rice, paddy",1996,51031,591,54595,17.64
"Rice, paddy",1996,51031,591,54595,17.97
Sorghum,1996,38763,591,54595,17.64
Sorghum,1996,38763,591,54595,17.97
Soybeans,1996,21051,591,54595,17.64
Soybeans,1996,21051,591,54595,17.97
Sweet potatoes,1996,170000,591,54595,17.64
Sweet potatoes,1996,170000,591,54595,17.97
Wheat,1996,19344,591,54595,17.64
Wheat,1996,19344,591,54595,17.97
Cassava,1997,100000,591,77691,18.29
Cassava,1997,100000,591,77691,18.54
Maize,1997,45557,591,77691,18.29
Maize,1997,45557,591,77691,18.54
Potatoes,1997,268502,591,77691,18.29
Potatoes,1997,268502,591,77691,18.54
"Rice, paddy",1997,53703,591,77691,18.29
"Rice, paddy",1997,53703,591,77691,18.54
Sorghum,1997,36845,591,77691,18.29
Sorghum,1997,36845,591,77691,18.54
Soybeans,1997,17212,591,77691,18.29
Soybeans,1997,17212,591,77691,18.54
Sweet potatoes,1997,145662,591,77691,18.29
Sweet potatoes,1997,145662,591,77691,18.54
Wheat,1997,22426,591,77691,18.29
Wheat,1997,22426,591,77691,18.54
Cassava,1998,100000,591,62397,17.23
Cassava,1998,100000,591,62397,17.52
Maize,1998,60780,591,62397,17.23
Maize,1998,60780,591,62397,17.52
Potatoes,1998,293744,591,62397,17.23
Potatoes,1998,293744,591,62397,17.52
"Rice, paddy",1998,47762,591,62397,17.23
"Rice, paddy",1998,47762,591,62397,17.52
Sorghum,1998,48105,591,62397,17.23
Sorghum,1998,48105,591,62397,17.52
Soybeans,1998,26937,591,62397,17.23
Soybeans,1998,26937,591,62397,17.52
Sweet potatoes,1998,175055,591,62397,17.23
Sweet potatoes,1998,175055,591,62397,17.52
Wheat,1998,26088,591,62397,17.23
Wheat,1998,26088,591,62397,17.52
Cassava,1999,100000,591,62831.39,17.15
Cassava,1999,100000,591,62831.39,17.71
Maize,1999,53702,591,62831.39,17.15
Maize,1999,53702,591,62831.39,17.71
Potatoes,1999,238938,591,62831.39,17.15
Potatoes,1999,238938,591,62831.39,17.71
"Rice, paddy",1999,57337,591,62831.39,17.15
"Rice, paddy",1999,57337,591,62831.39,17.71
Sorghum,1999,43845,591,62831.39,17.15
Sorghum,1999,43845,591,62831.39,17.71
Soybeans,1999,24450,591,62831.39,17.15
Soybeans,1999,24450,591,62831.39,17.71
Sweet potatoes,1999,143991,591,62831.39,17.15
Sweet potatoes,1999,143991,591,62831.39,17.71
Wheat,1999,23028,591,62831.39,17.15
Wheat,1999,23028,591,62831.39,17.71
Cassava,2000,100000,591,63265.78,16.98
Cassava,2000,100000,591,63265.78,17.66
Maize,2000,54329,591,63265.78,16.98
Maize,2000,54329,591,63265.78,17.66
Potatoes,2000,277566,591,63265.78,16.98
Potatoes,2000,277566,591,63265.78,17.66
"Rice, paddy",2000,47798,591,63265.78,16.98
"Rice, paddy",2000,47798,591,63265.78,17.66
Sorghum,2000,46477,591,63265.78,16.98
Sorghum,2000,46477,591,63265.78,17.66
Soybeans,2000,23312,591,63265.78,16.98
Soybeans,2000,23312,591,63265.78,17.66
Sweet potatoes,2000,151462,591,63265.78,16.98
Sweet potatoes,2000,151462,591,63265.78,17.66
Wheat,2000,24873,591,63265.78,16.98
Wheat,2000,24873,591,63265.78,17.66
Cassava,2001,100000,591,63700.17,17.71
Cassava,2001,100000,591,63700.17,18.42
Maize,2001,54553,591,63700.17,17.71
Maize,2001,54553,591,63700.17,18.42
Potatoes,2001,283768,591,63700.17,17.71
Potatoes,2001,283768,591,63700.17,18.42
"Rice, paddy",2001,57495,591,63700.17,17.71
"Rice, paddy",2001,57495,591,63700.17,18.42
Sorghum,2001,47429,591,63700.17,17.71
Sorghum,2001,47429,591,63700.17,18.42
Soybeans,2001,25846,591,63700.17,17.71
Soybeans,2001,25846,591,63700.17,18.42
Sweet potatoes,2001,155212,591,63700.17,17.71
Sweet potatoes,2001,155212,591,63700.17,18.42
Wheat,2001,24934,591,63700.17,17.71
Wheat,2001,24934,591,63700.17,18.42
Cassava,2002,100000,591,64134.56,17.58
Cassava,2002,100000,591,64134.56,18.07
Maize,2002,60791,591,64134.56,17.58
Maize,2002,60791,591,64134.56,18.07
Potatoes,2002,251347,591,64134.56,17.58
Potatoes,2002,251347,591,64134.56,18.07
"Rice, paddy",2002,57197,591,64134.56,17.58
"Rice, paddy",2002,57197,591,64134.56,18.07
Sorghum,2002,52691,591,64134.56,17.58
Sorghum,2002,52691,591,64134.56,18.07
Soybeans,2002,26304,591,64134.56,17.58
Soybeans,2002,26304,591,64134.56,18.07
Sweet potatoes,2002,155890,591,64134.56,17.58
Sweet potatoes,2002,155890,591,64134.56,18.07
Wheat,2002,22398,591,64134.56,17.58
Wheat,2002,22398,591,64134.56,18.07
Cassava,2004,100000,591,65003.34,17.67
Cassava,2004,100000,591,65003.34,18.11
Maize,2004,63931,591,65003.34,17.67
Maize,2004,63931,591,65003.34,18.11
Potatoes,2004,288717,591,65003.34,17.67
Potatoes,2004,288717,591,65003.34,18.11
"Rice, paddy",2004,62661,591,65003.34,17.67
"Rice, paddy",2004,62661,591,65003.34,18.11
Sorghum,2004,45531,591,65003.34,17.67
Sorghum,2004,45531,591,65003.34,18.11
Soybeans,2004,22075,591,65003.34,17.67
Soybeans,2004,22075,591,65003.34,18.11
Sweet potatoes,2004,154867,591,65003.34,17.67
Sweet potatoes,2004,154867,591,65003.34,18.11
Wheat,2004,25441,591,65003.34,17.67
Wheat,2004,25441,591,65003.34,18.11
Cassava,2005,100000,591,65437.73,17.32
Cassava,2005,100000,591,65437.73,17.83
Maize,2005,73587,591,65437.73,17.32
Maize,2005,73587,591,65437.73,17.83
Potatoes,2005,283917,591,65437.73,17.32
Potatoes,2005,283917,591,65437.73,17.83
"Rice, paddy",2005,60165,591,65437.73,17.32
"Rice, paddy",2005,60165,591,65437.73,17.83
Sorghum,2005,51872,591,65437.73,17.32
Sorghum,2005,51872,591,65437.73,17.83
Soybeans,2005,27287,591,65437.73,17.32
Soybeans,2005,27287,591,65437.73,17.83
Sweet potatoes,2005,154472,591,65437.73,17.32
Sweet potatoes,2005,154472,591,65437.73,17.83
Wheat,2005,26356,591,65437.73,17.32
Wheat,2005,26356,591,65437.73,17.83
Cassava,2006,100000,591,65872.12,18.1
Cassava,2006,100000,591,65872.12,18.35
Maize,2006,59030,591,65872.12,18.1
Maize,2006,59030,591,65872.12,18.35
Potatoes,2006,285828,591,65872.12,18.1
Potatoes,2006,285828,591,65872.12,18.35
"Rice, paddy",2006,70610,591,65872.12,18.1
"Rice, paddy",2006,70610,591,65872.12,18.35
Sorghum,2006,46778,591,65872.12,18.1
Sorghum,2006,46778,591,65872.12,18.35
Soybeans,2006,26793,591,65872.12,18.1
Soybeans,2006,26793,591,65872.12,18.35
Sweet potatoes,2006,143478,591,65872.12,18.1
Sweet potatoes,2006,143478,591,65872.12,18.35
Wheat,2006,25302,591,65872.12,18.1
Wheat,2006,25302,591,65872.12,18.35
